车ID,O_time,O_lng,O_lat,D_time,D_lng,D_lat
164807,2017-12-04 00:01:23,116.514933,39.915651,2017-12-04 00:02:11,116.408692,39.453693
156473,2017-12-04 00:01:13,116.483868,39.906267,2017-12-04 00:02:14,116.163207,39.806893
174922,2017-12-03 23:59:58,116.582502,40.06695,2017-12-04 00:02:15,116.586677,40.07836
214291,2017-12-03 23:59:58,116.321567,39.857707,2017-12-04 00:02:19,116.323884,39.853486
486208,2017-12-03 23:59:55,116.401757,39.95048,2017-12-04 00:02:18,116.402108,39.942648
100194,2017-12-04 00:01:30,116.521172,40.018002,2017-12-04 00:02:18,116.43872,39.895142
235434,2017-12-04 00:00:01,116.479562,39.955728,2017-12-04 00:02:22,116.483588,39.960342
125471,2017-12-04 00:00:00,116.440975,39.951933,2017-12-04 00:02:23,116.438153,39.952695
431572,2017-12-03 23:59:59,116.539557,39.751033,2017-12-04 00:02:23,116.549293,39.753355
156428,2017-12-04 00:01:25,116.214418,39.923482,2017-12-04 00:02:24,116.469913,39.70318
156406,2017-12-04 00:02:14,116.381899,39.931925,2017-12-04 00:02:24,116.19527,39.799277000000004
174938,2017-12-04 00:02:15,116.377445,39.947545,2017-12-04 00:02:24,116.30396,39.850045
156494,2017-12-04 00:02:19,116.411282,39.922393,2017-12-04 00:02:25,116.347651,39.874432
194942,2017-12-04 00:00:01,116.633506,39.925477,2017-12-04 00:02:27,116.650665,39.925012
156482,2017-12-04 00:01:33,116.414675,39.88201,2017-12-04 00:02:27,115.982323,39.645887
164445,2017-12-03 23:59:56,116.477691,39.975228,2017-12-04 00:02:29,116.477461,39.97739
154926,2017-12-03 23:59:53,116.260352,39.863807,2017-12-04 00:02:29,116.261068,39.851472
159469,2017-12-04 00:00:28,116.394735,39.980302,2017-12-04 00:02:29,116.404673,39.981505
183451,2017-12-03 23:59:54,116.426618,39.968122,2017-12-04 00:02:30,116.442788,39.963087
431219,2017-12-03 23:59:54,116.51128,39.944907,2017-12-04 00:02:33,116.511408,39.934473
492146,2017-12-04 00:00:19,116.426993,39.88947,2017-12-04 00:02:35,116.422123,39.891212
199724,2017-12-04 00:00:00,116.43769,39.80364,2017-12-04 00:02:36,116.43715,39.810655
174938,2017-12-04 00:02:25,116.375007,39.947527,2017-12-04 00:02:36,116.30396,39.850045
156406,2017-12-04 00:02:26,116.379863,39.931866,2017-12-04 00:02:36,116.194503,39.796963
164805,2017-12-04 00:01:40,116.318832,39.922277,2017-12-04 00:02:39,116.261663,39.715815
156164,2017-12-04 00:00:04,116.368897,40.008602,2017-12-04 00:02:40,116.369835,40.008272
194213,2017-12-03 23:59:56,116.296927,39.829172,2017-12-04 00:02:40,116.30449,39.821363
156494,2017-12-04 00:02:31,116.411375,39.921032,2017-12-04 00:02:42,116.3476,39.875721
93423,2017-12-04 00:00:44,116.418605,40.061922,2017-12-04 00:02:44,116.416378,40.056257
403596,2017-12-03 23:59:55,116.482217,39.86498,2017-12-04 00:02:46,116.472943,39.866442
171944,2017-12-03 23:59:57,116.655818,39.907138,2017-12-04 00:02:47,116.660942,39.908262
426188,2017-12-03 23:59:49,116.319433,39.934452,2017-12-04 00:02:40,116.313723,39.935408
174938,2017-12-04 00:02:47,116.369907,39.947483,2017-12-04 00:02:48,116.30396,39.850045
122439,2017-12-03 23:59:53,116.367112,39.861417,2017-12-04 00:02:48,116.362148,39.849393
156406,2017-12-04 00:02:38,116.377823,39.931831,2017-12-04 00:02:48,116.193595,39.79471
164832,2017-12-04 00:01:47,116.340987,39.896652,2017-12-04 00:02:48,116.630628,40.1994
111449,2017-12-03 23:59:56,116.462998,39.883043,2017-12-04 00:02:49,116.474388,39.882898
156494,2017-12-04 00:02:43,116.411425,39.919368,2017-12-04 00:02:49,116.34756,39.876074
154719,2017-12-03 23:59:47,116.411441,39.906834,2017-12-04 00:02:55,116.42063,39.912735
184836,2017-12-04 00:00:04,116.457458,39.964883,2017-12-04 00:02:58,116.436539,39.958461
